time,value
2024-12-04T00:08:10.453817223Z,false
2024-12-04T00:11:25.387787345Z,false
2024-12-04T00:11:52.011212986Z,true
2024-12-04T00:11:52.275778909Z,true
2024-12-04T00:11:57.099764789Z,false
2024-12-04T00:11:57.502307911Z,false
2024-12-04T00:15:16.347116614Z,false
2024-12-04T00:16:53.112552286Z,false
2024-12-04T00:22:58.404575346Z,false
2024-12-04T00:28:39.882553059Z,false
2024-12-04T00:45:23.811252528Z,false
2024-12-04T00:46:29.311003669Z,false
2024-12-04T00:49:29.191959592Z,false
2024-12-04T00:52:06.989771866Z,false
2024-12-04T00:55:51.868726922Z,false
2024-12-04T01:01:48.418835275Z,false
2024-12-04T01:21:09.780698842Z,false
2024-12-04T01:22:50.054558652Z,false
2024-12-04T01:30:54.863293671Z,false
2024-12-04T01:34:52.375284048Z,false
2024-12-04T01:48:44.159185915Z,false
2024-12-04T01:50:37.335972471Z,false
2024-12-04T01:54:33.712414853Z,false
2024-12-04T01:58:52.841833576Z,false
2024-12-04T02:01:20.805953056Z,false
2024-12-04T02:02:20.760655011Z,true
2024-12-04T02:02:20.863397363Z,true
2024-12-04T02:02:21.636500006Z,false
2024-12-04T02:02:21.886560033Z,false
2024-12-04T02:07:20.692169448Z,false
2024-12-04T02:11:42.231604073Z,false
2024-12-04T02:24:46.520683303Z,false
2024-12-04T02:28:31.993659614Z,false
2024-12-04T02:32:12.063557394Z,false
2024-12-04T02:32:49.397132872Z,true
2024-12-04T02:32:49.815294651Z,true
2024-12-04T02:32:50.299487171Z,false
2024-12-04T02:32:50.838315382Z,false
2024-12-04T02:40:16.070810985Z,false
2024-12-04T02:42:55.338414724Z,false
2024-12-04T02:43:14.955304271Z,true
2024-12-04T02:43:15.331866875Z,true
2024-12-04T02:43:15.789158343Z,false
2024-12-04T02:43:15.987445262Z,false
2024-12-04T02:43:44.172227072Z,false
2024-12-04T02:44:18.033148496Z,true
2024-12-04T02:44:18.254012333Z,true
2024-12-04T02:44:19.081630173Z,false
2024-12-04T02:44:19.405084611Z,false
2024-12-04T03:00:56.999971806Z,true
2024-12-04T03:00:57.301654148Z,true
2024-12-04T03:00:57.991881096Z,false
2024-12-04T03:00:58.120789645Z,false
2024-12-04T03:01:00.044379861Z,true
2024-12-04T03:01:00.288645468Z,true
2024-12-04T03:01:02.112674384Z,false
2024-12-04T03:01:02.513177047Z,false
2024-12-04T21:58:39.335445645Z,true
2024-12-04T21:58:39.619945023Z,true
2024-12-04T21:58:40.592731761Z,false
2024-12-04T21:58:40.957947075Z,false
2024-12-05T08:38:43.058398222Z,true
2024-12-05T08:38:43.2441951Z,true
2024-12-05T08:38:44.67798731Z,false
2024-12-05T08:38:45.09681694Z,false
2024-12-05T23:25:23.17462822Z,true
2024-12-05T23:25:23.531844719Z,true
2024-12-05T23:25:23.957821526Z,false
2024-12-05T23:25:24.224597487Z,false
2024-12-06T00:10:12.320998238Z,false
2024-12-06T00:12:53.036357755Z,false
2024-12-06T00:15:12.070999082Z,false
2024-12-08T03:05:02.362523157Z,true
2024-12-08T03:05:03.243168125Z,true
2024-12-08T03:05:05.367480837Z,false
2024-12-08T03:05:05.646039818Z,false
2024-12-09T13:29:45.855287032Z,true
2024-12-09T13:29:46.079812606Z,true
2024-12-09T13:29:47.15318207Z,false
2024-12-09T13:29:47.377627876Z,false
2024-12-10T14:40:40.264808429Z,true
2024-12-10T14:40:40.526922019Z,true
2024-12-10T14:40:41.878581749Z,false
2024-12-10T14:40:42.234201384Z,false
2024-12-10T23:02:11.67520869Z,true
2024-12-10T23:02:12.253368391Z,true
2024-12-10T23:02:14.678408693Z,false
2024-12-10T23:02:14.898536486Z,false
2024-12-11T21:19:31.990377916Z,true
2024-12-11T21:19:32.203914126Z,true
2024-12-11T21:19:32.789041265Z,false
2024-12-11T21:19:32.936107032Z,false
2024-12-12T15:01:06.796337448Z,true
2024-12-12T15:01:07.014041728Z,true
2024-12-12T15:01:09.61732093Z,false
2024-12-12T15:01:10.130093543Z,false
